county,fips,state_id,state_name,population,ppercentage
Becker County,27005,MN,Minnesota,34011,0.000102613
Clarendon County,45027,SC,South Carolina,33957,0.00010245
Nicollet County,27103,MN,Minnesota,33954,0.000102441
Lincoln County,47103,TN,Tennessee,33924,0.000102351
Putnam County,39137,OH,Ohio,33911,0.000102311
Hale County,48189,TX,Texas,33826,0.000102055
Transylvania County,37175,NC,North Carolina,33775,0.000101901
Whitley County,18183,IN,Indiana,33730,0.000101765
Preston County,54077,WV,West Virginia,33683,0.000101623
Chambers County,1017,AL,Alabama,33660,0.000101554
Gibson County,18051,IN,Indiana,33656,0.000101542
Hot Spring County,5059,AR,Arkansas,33597,0.000101364
Evangeline Parish,22039,LA,Louisiana,33589,0.00010134
Weakley County,47183,TN,Tennessee,33510,0.000101101
Jasper County,18073,IN,Indiana,33447,0.000100911
Miami County,20121,KS,Kansas,33417,0.000100821
Bladen County,37017,NC,North Carolina,33407,0.000100791
Botetourt County,51023,VA,Virginia,33343,0.000100598
Pike County,1109,AL,Alabama,33333,0.000100567
Wexford County,26165,MI,Michigan,33256,0.000100335
Lyon County,20111,KS,Kansas,33251,0.00010032
Platte County,31141,NE,Nebraska,33174,0.000100088
Marion County,19125,IA,Iowa,33172,0.000100082
Logan County,54045,WV,West Virginia,33154,0.000100027
Bureau County,17011,IL,Illinois,33122,9.99E-05
Daviess County,18027,IN,Indiana,33120,9.99E-05
Emmet County,26047,MI,Michigan,33104,9.99E-05
Morrison County,27097,MN,Minnesota,33064,9.98E-05
Lawrence County,1079,AL,Alabama,33058,9.97E-05
Caroline County,24011,MD,Maryland,33049,9.97E-05
McCurtain County,40089,OK,Oklahoma,33016,9.96E-05
Marshall County,47117,TN,Tennessee,32965,9.95E-05
Christian County,17021,IL,Illinois,32931,9.94E-05
Iberville Parish,22047,LA,Louisiana,32822,9.90E-05
Taos County,35055,NM,New Mexico,32786,9.89E-05
Rhea County,47143,TN,Tennessee,32719,9.87E-05
Accomack County,51001,VA,Virginia,32673,9.86E-05
Titus County,48449,TX,Texas,32640,9.85E-05
Bee County,48025,TX,Texas,32611,9.84E-05
Lafayette County,29107,MO,Missouri,32597,9.83E-05
Montgomery County,20125,KS,Kansas,32521,9.81E-05
Jackson County,39079,OH,Ohio,32450,9.79E-05
Lumpkin County,13187,GA,Georgia,32402,9.78E-05
Wakulla County,12129,FL,Florida,32321,9.75E-05
Chester County,45023,SC,South Carolina,32311,9.75E-05
Randolph County,17157,IL,Illinois,32295,9.74E-05
Henry County,47079,TN,Tennessee,32284,9.74E-05
Clinton County,18023,IN,Indiana,32273,9.74E-05
Juneau City and Borough,2110,AK,Alaska,32227,9.72E-05
Jefferson County,18077,IN,Indiana,32201,9.72E-05
Greene County,18055,IN,Indiana,32159,9.70E-05
Dorchester County,24019,MD,Maryland,32138,9.70E-05
Bolivar County,28011,MS,Mississippi,31848,9.61E-05
Amherst County,51009,VA,Virginia,31775,9.59E-05
Polk County,29167,MO,Missouri,31748,9.58E-05
Coos County,33007,NH,New Hampshire,31741,9.58E-05
Claiborne County,47025,TN,Tennessee,31732,9.57E-05
Wasatch County,49051,UT,Utah,31708,9.57E-05
Pontotoc County,28115,MS,Mississippi,31618,9.54E-05
Stone County,29209,MO,Missouri,31615,9.54E-05
Adams County,31001,NE,Nebraska,31587,9.53E-05
